// FactionDef
суровый клан; суровые кланы
повреждённая крепостная стена; повреждённые крепостные стены
низкая крепостная стена; низкие крепостные стены
низкая крепостная стена (проект); низкие крепостные стены (проект)
низкая крепостная стена (в процессе сборки); низкие крепостные стены (в процессе сборки)
повреждённая низкая крепостная стена; повреждённые низкие крепостные стены
винная бочка; винные бочки
геральдический ковёр (узкий); геральдические ковры (узкие)
геральдический ковёр (большой); геральдические ковры (большой)
геральдический ковёр (огромный); геральдические ковры (огромные)
настойка иммунитета; настойки иммунитета
лечебная настойка; лечебные настойки
настойка силы; настойки силы
настойка эффективности; настойки эффективности
обезболивающая настойка; обезболивающие настойки
пыточная настойка; пыточные настойки
настойка концентрации; настойки концентрации
настойка фертильности; настойки фертильности
настойка озарения; настойки озарения
настойка каменной кожи; настойки каменной кожи
настойка беспамятства; настойки беспамятства
настойка комы; настойки комы
ядовитая настойка; ядовитые настойки
настойка-противоядие; настойки-противоядия
сладкий рулет; сладкие рулеты
виноградное сусло; виноградные сусла

// ThingDef
мёд; меды
виноград; винограды




шаяльник; шаяльники
грубая ткань; грубые ткани
сеноткань; сеноткани
плотная кожа; плотные кожи
незаконченная одежда; незаконченные одежды
тяжёлая булава; тяжёлые булавы
рукоять; рукояти
голова; головы
скандинавский топор; скандинавские топоры
лезвие; лезвия
клеймор; клейморы
остриё; острия
алебарда; алебарды
древко; древки
штандарт; штандарты
пика; пики
короткий меч; короткие мечи
цеп; цепы
частица; частицы
метательный топор; метательные топоры
топор (брошенный); топоры (брошенные)
аркебуза; аркебузы
приклад; приклады
ствол; стволы
картечь аркебузы; картечи аркебузы
ручная пушка; ручные пушки
картечь ручной пушки; картечи ручной пушки
арбалет; арбалеты
плечо; плечи
болт арбалета; болты арбалета
боевой лук; боевые луки
стрела боевого лука; стрелы боевого лука
тяжёлый щит; тяжёлые щиты
основа; основы
центр; центры
круглый щит; круглые щиты

