// FactionDef
утопия; утопии; утопии; утопию; утопией; утопии
нейтронасос; нейтронасоса; нейтронасосу; нейтронасос; нейтронасосом; нейтронасосе
воздушный фильтр; воздушного фильтра; воздушному фильтру; воздушный фильтр; воздушным фильтром; воздушном фильтре
нейтрофильтр; нейтрофильтра; нейтрофильтру; нейтрофильтр; нейтрофильтром; нейтрофильтре
регулятор метаболизма; регулятора метаболизма; регулятору метаболизму; регулятор метаболизм; регулятором метаболизмом; регуляторе метаболизме
реактор; реактора; реактору; реактор; реактором; реакторе
искусственный мозг; искусственного мозга; искусственному мозгу; искусственный мозг; искусственным мозгом; искусственном мозге
оптический блок; оптического блока; оптическому блоку; оптический блок; оптическим блоком; оптическом блоке
аудиопроцессор; аудиопроцессора; аудиопроцессору; аудиопроцессор; аудиопроцессором; аудиопроцессоре
искусственный нос; искусственного носа; искусственному носу; искусственный нос; искусственным носом; искусственном носе
искусственная челюсть; искусственной челюсти; искусственной челюсти; искусственную челюсть; искусственной челюстью; искусственной челюсти
искусственная грудная клетка; искусственной грудной клетки; искусственной грудной клетке; искусственную грудную клетку; искусственной грудной клеткой; искусственной грудной клетке
искусственный позвоночник; искусственного позвоночника; искусственному позвоночнику; искусственный позвоночник; искусственным позвоночником; искусственном позвоночнике
нога андроида; ноги андроида; ноге андроиду; ногу андроида; ногой андроидом; ноге андроиде
ступня андроида; ступни андроида; ступне андроиду; ступню андроида; ступнёй андроидом; ступне андроиде
рука андроида; руки андроида; руке андроиду; руку андроида; рукой андроидом; руке андроиде
кисть андроида; кисти андроида; кисти андроиду; кисть андроида; кистью андроидом; кисти андроиде

// PawnKindDef
утопия; утопии; утопии; утопию; утопией; утопии
электромагнитный шок; электромагнитного шока; электромагнитному шоку; электромагнитный шок; электромагнитным шоком; электромагнитном шоке
ЭМИ-ожог; ЭМИ-ожога; ЭМИ-ожогу; ЭМИ-ожог; ЭМИ-ожогом; ЭМИ-ожоге
ЭМИ ожоговый рубец; ЭМИ ожоговый рубец; ЭМИ ожоговый рубец; ЭМИ ожоговый рубец; ЭМИ ожоговый рубец; ЭМИ ожоговый рубец
сгорело (ЭМИ); сгорело (ЭМИ); сгорело (ЭМИ); сгорело (ЭМИ); сгорело (ЭМИ); сгорело (ЭМИ)
сгорело (ЭМИ); сгорело (ЭМИ); сгорело (ЭМИ); сгорело (ЭМИ); сгорело (ЭМИ); сгорело (ЭМИ)
нейтропотеря; нейтропотери; нейтропотере; нейтропотерю; нейтропотерей; нейтропотере
незначительная; незначительной; незначительной; незначительную; незначительной; незначительной
лёгкая; лёгкой; лёгкой; лёгкую; лёгкой; лёгкой
средняя; средней; средней; среднюю; средней; средней
серьёзная; серьёзной; серьёзной; серьёзную; серьёзной; серьёзной
экстремальная; экстремальной; экстремальной; экстремальную; экстремальной; экстремальной
замерзание; замерзания; замерзанию; замерзание; замерзанием; замерзании
озноб; озноба; ознобу; озноб; ознобом; ознобе
озноб; озноба; ознобу; озноб; ознобом; ознобе
лёгкое; лёгкого; лёгкому; лёгкое; лёгким; лёгком
серьёзное; серьёзного; серьёзному; серьёзное; серьёзным; серьёзном
экстремальное; экстремального; экстремальному; экстремальное; экстремальным; экстремальном
заморозка; заморозки; заморозке; заморозку; заморозкой; заморозке
отморожено; отморожена; отморожену; отморожено; отмороженом; отморожене
перегрев; перегрева; перегреву; перегрев; перегревом; перегреве
начальный; начального; начальному; начальный; начальным; начальном
незначительный; незначительного; незначительному; незначительный; незначительным; незначительном
серьёзный; серьёзного; серьёзному; серьёзного; серьёзным; серьёзном
экстремальный; экстремального; экстремальному; экстремального; экстремальным; экстремальном
недомогание от анализатора; недомогания оты анализатора; недомоганию оте анализатору; недомогание оту анализатор; недомоганием отой анализатором; недомогании оте анализаторе
нейтронасос; нейтронасоса; нейтронасосу; нейтронасос; нейтронасосом; нейтронасосе
воздушный фильтр; воздушного фильтра; воздушному фильтру; воздушный фильтр; воздушным фильтром; воздушном фильтре
нейтрофильтр; нейтрофильтра; нейтрофильтру; нейтрофильтр; нейтрофильтром; нейтрофильтре
регулятор метаболизма; регулятора метаболизма; регулятору метаболизму; регулятор метаболизм; регулятором метаболизмом; регуляторе метаболизме
реактор; реактора; реактору; реактор; реактором; реакторе
искусственный мозг; искусственного мозга; искусственному мозгу; искусственный мозг; искусственным мозгом; искусственном мозге
оптический блок; оптического блока; оптическому блоку; оптический блок; оптическим блоком; оптическом блоке
аудиопроцессор; аудиопроцессора; аудиопроцессору; аудиопроцессор; аудиопроцессором; аудиопроцессоре
искусственный нос; искусственного носа; искусственному носу; искусственный нос; искусственным носом; искусственном носе
искусственная челюсть; искусственной челюсти; искусственной челюсти; искусственную челюсть; искусственной челюстью; искусственной челюсти
искусственная грудная клетка; искусственной грудной клетки; искусственной грудной клетке; искусственную грудную клетку; искусственной грудной клеткой; искусственной грудной клетке
искусственный позвоночник; искусственного позвоночника; искусственному позвоночнику; искусственный позвоночник; искусственным позвоночником; искусственном позвоночнике
нога андроида; ноги андроида; ноге андроиду; ногу андроида; ногой андроидом; ноге андроиде
ступня андроида; ступни андроида; ступне андроиду; ступню андроида; ступнёй андроидом; ступне андроиде
рука андроида; руки андроида; руке андроиду; руку андроида; рукой андроидом; руке андроиде
кисть андроида; кисти андроида; кисти андроиду; кисть андроида; кистью андроидом; кисти андроиде
андроид; андроида; андроиду; андроида; андроидом; андроиде
пробуждённый андроид; пробуждённого андроида; пробуждённому андроиду; пробуждённого андроида; пробуждённым андроидом; пробуждённом андроиде

// ThingDef
утопия; утопии; утопии; утопию; утопией; утопии
электромагнитный шок; электромагнитного шока; электромагнитному шоку; электромагнитный шок; электромагнитным шоком; электромагнитном шоке
ЭМИ-ожог; ЭМИ-ожога; ЭМИ-ожогу; ЭМИ-ожог; ЭМИ-ожогом; ЭМИ-ожоге
ЭМИ ожоговый рубец; ЭМИ ожоговый рубец; ЭМИ ожоговый рубец; ЭМИ ожоговый рубец; ЭМИ ожоговый рубец; ЭМИ ожоговый рубец
сгорело (ЭМИ); сгорело (ЭМИ); сгорело (ЭМИ); сгорело (ЭМИ); сгорело (ЭМИ); сгорело (ЭМИ)
сгорело (ЭМИ); сгорело (ЭМИ); сгорело (ЭМИ); сгорело (ЭМИ); сгорело (ЭМИ); сгорело (ЭМИ)
нейтропотеря; нейтропотери; нейтропотере; нейтропотерю; нейтропотерей; нейтропотере
незначительная; незначительной; незначительной; незначительную; незначительной; незначительной
лёгкая; лёгкой; лёгкой; лёгкую; лёгкой; лёгкой
средняя; средней; средней; среднюю; средней; средней
серьёзная; серьёзной; серьёзной; серьёзную; серьёзной; серьёзной
экстремальная; экстремальной; экстремальной; экстремальную; экстремальной; экстремальной
замерзание; замерзания; замерзанию; замерзание; замерзанием; замерзании
озноб; озноба; ознобу; озноб; ознобом; ознобе
озноб; озноба; ознобу; озноб; ознобом; ознобе
лёгкое; лёгкого; лёгкому; лёгкое; лёгким; лёгком
серьёзное; серьёзного; серьёзному; серьёзное; серьёзным; серьёзном
экстремальное; экстремального; экстремальному; экстремальное; экстремальным; экстремальном
заморозка; заморозки; заморозке; заморозку; заморозкой; заморозке
отморожено; отморожена; отморожену; отморожено; отмороженом; отморожене
перегрев; перегрева; перегреву; перегрев; перегревом; перегреве
начальный; начального; начальному; начальный; начальным; начальном
незначительный; незначительного; незначительному; незначительный; незначительным; незначительном
серьёзный; серьёзного; серьёзному; серьёзного; серьёзным; серьёзном
экстремальный; экстремального; экстремальному; экстремального; экстремальным; экстремальном
недомогание от анализатора; недомогания оты анализатора; недомоганию оте анализатору; недомогание оту анализатор; недомоганием отой анализатором; недомогании оте анализаторе
нейтронасос; нейтронасоса; нейтронасосу; нейтронасос; нейтронасосом; нейтронасосе
воздушный фильтр; воздушного фильтра; воздушному фильтру; воздушный фильтр; воздушным фильтром; воздушном фильтре
нейтрофильтр; нейтрофильтра; нейтрофильтру; нейтрофильтр; нейтрофильтром; нейтрофильтре
регулятор метаболизма; регулятора метаболизма; регулятору метаболизму; регулятор метаболизм; регулятором метаболизмом; регуляторе метаболизме
реактор; реактора; реактору; реактор; реактором; реакторе
искусственный мозг; искусственного мозга; искусственному мозгу; искусственный мозг; искусственным мозгом; искусственном мозге
оптический блок; оптического блока; оптическому блоку; оптический блок; оптическим блоком; оптическом блоке
аудиопроцессор; аудиопроцессора; аудиопроцессору; аудиопроцессор; аудиопроцессором; аудиопроцессоре
искусственный нос; искусственного носа; искусственному носу; искусственный нос; искусственным носом; искусственном носе
искусственная челюсть; искусственной челюсти; искусственной челюсти; искусственную челюсть; искусственной челюстью; искусственной челюсти
искусственная грудная клетка; искусственной грудной клетки; искусственной грудной клетке; искусственную грудную клетку; искусственной грудной клеткой; искусственной грудной клетке
искусственный позвоночник; искусственного позвоночника; искусственному позвоночнику; искусственный позвоночник; искусственным позвоночником; искусственном позвоночнике
нога андроида; ноги андроида; ноге андроиду; ногу андроида; ногой андроидом; ноге андроиде
ступня андроида; ступни андроида; ступне андроиду; ступню андроида; ступнёй андроидом; ступне андроиде
рука андроида; руки андроида; руке андроиду; руку андроида; рукой андроидом; руке андроиде
кисть андроида; кисти андроида; кисти андроиду; кисть андроида; кистью андроидом; кисти андроиде
андроид; андроида; андроиду; андроида; андроидом; андроиде
пробуждённый андроид; пробуждённого андроида; пробуждённому андроиду; пробуждённого андроида; пробуждённым андроидом; пробуждённом андроиде
место остановки андроида; места остановки андроида; месту остановке андроиду; место остановку андроида; местом остановкой андроидом; месте остановке андроиде
стойка андроида; стойки андроида; стойке андроиду; стойку андроида; стойкой андроидом; стойке андроиде
андроид (в спящем режиме); андроид (в спящем режиме); андроид (в спящем режиме); андроид (в спящем режиме); андроид (в спящем режиме); андроид (в спящем режиме)
мастерская андроидов; мастерского андроида; мастерскому андроиду; мастерского андроида; мастерским андроидом; мастерском андроиде
полианализатор субъядер; полианализатора субъядра; полианализатору субъядру; полианализатор субъядро; полианализатором субъядром; полианализаторе субъядре
станция сборки андроидов; станции сборки андроида; станции сборке андроиду; станцию сборку андроида; станцией сборкой андроидом; станции сборке андроиде
станция поведенческой настройки; станции поведенческой настройки; станции поведенческой настройке; станцию поведенческую настройку; станцией поведенческой настройкой; станции поведенческой настройке
нейтроаминовый саркофаг; нейтроаминового саркофага; нейтроаминовому саркофагу; нейтроаминовый саркофаг; нейтроаминовым саркофагом; нейтроаминовом саркофаге
Нейтроамин; Нейтроамина; Нейтроамину; Нейтроамин; Нейтроамином; Нейтроамине
Нейтроамин; Нейтроамина; Нейтроамину; Нейтроамин; Нейтроамином; Нейтроамине
частица; частицы; частице; частицу; частицей; частице
нейтроамин; нейтроамина; нейтроамину; нейтроамин; нейтроамином; нейтроамине
нейтронасос; нейтронасоса; нейтронасосу; нейтронасос; нейтронасосом; нейтронасосе
воздушный фильтр; воздушного фильтра; воздушному фильтру; воздушный фильтр; воздушным фильтром; воздушном фильтре
нейтрофильтр; нейтрофильтра; нейтрофильтру; нейтрофильтр; нейтрофильтром; нейтрофильтре
регулятор метаболизма; регулятора метаболизма; регулятору метаболизму; регулятор метаболизм; регулятором метаболизмом; регуляторе метаболизме
реактор; реактора; реактору; реактор; реактором; реакторе
оптический блок; оптического блока; оптическому блоку; оптический блок; оптическим блоком; оптическом блоке
аудиопроцессор; аудиопроцессора; аудиопроцессору; аудиопроцессор; аудиопроцессором; аудиопроцессоре
искусственный нос; искусственного носа; искусственному носу; искусственный нос; искусственным носом; искусственном носе
искусственная челюсть; искусственной челюсти; искусственной челюсти; искусственную челюсть; искусственной челюстью; искусственной челюсти
искусственная грудная клетка; искусственной грудной клетки; искусственной грудной клетке; искусственную грудную клетку; искусственной грудной клеткой; искусственной грудной клетке
искусственный позвоночник; искусственного позвоночника; искусственному позвоночнику; искусственный позвоночник; искусственным позвоночником; искусственном позвоночнике
нога андроида; ноги андроида; ноге андроиду; ногу андроида; ногой андроидом; ноге андроиде
ступня андроида; ступни андроида; ступне андроиду; ступню андроида; ступнёй андроидом; ступне андроиде
рука андроида; руки андроида; руке андроиду; руку андроида; рукой андроидом; руке андроиде
кисть андроида; кисти андроида; кисти андроиду; кисть андроида; кистью андроидом; кисти андроиде
незаконченная часть андроида; незаконченной части андроида; незаконченной части андроиду; незаконченную часть андроида; незаконченной частию андроидом; незаконченной части андроиде
субъядро ИИ; субъядро ИИ; субъядро ИИ; субъядро ИИ; субъядро ИИ; субъядро ИИ
незаконченный андроид; незаконченного андроида; незаконченному андроиду; незаконченного андроида; незаконченным андроидом; незаконченном андроиде
частица; частицы; частице; частицу; частицей; частице
частица; частицы; частице; частицу; частицей; частице
частица; частицы; частице; частицу; частицей; частице
частица; частицы; частице; частицу; частицей; частице
частица; частицы; частице; частицу; частицей; частице
частица; частицы; частице; частицу; частицей; частице
нейтроаминовая труба; нейтроаминовой трубы; нейтроаминовой трубе; нейтроаминовую трубу; нейтроаминовой трубой; нейтроаминовой трубе
цистерна нейтроамина; цистерны нейтроамина; цистерне нейтроамину; цистерну нейтроамин; цистерной нейтроамином; цистерне нейтроамине
клапан нейтроамина; клапана нейтроамина; клапану нейтроамину; клапан нейтроамин; клапаном нейтроамином; клапане нейтроамине
слив нейтроамина; слива нейтроамина; сливу нейтроамину; слив нейтроамин; сливом нейтроамином; сливе нейтроамине

